,0,1,2,3,4,5,6,7
0,2.4958034,3.2462375,6.124383,0.0,1.801619,3.0454822,5.2188835,0.0
1,1.3777689,3.8353498,6.596734,0.0,1.9503431,3.6599796,5.8198395,0.0
2,5.8333445,3.007056,3.3968046,0.0,0.64566535,0.63439643,6.3273606,0.0
3,2.9825382,2.9534185,5.9473543,0.0,1.9777932,2.5449498,5.0181513,0.0
4,3.0065389,4.009351,2.1598792,0.0,1.2879974,4.7762184,4.9731083,0.0
5,3.1317217,3.1415503,1.9548352,0.0,2.674415,5.1985655,5.8977895,0.0
6,3.5636094,2.9846745,5.1703625,0.0,1.8016511,2.2465703,5.173154,0.0
7,0.0022456646,4.9653616,5.8799314,0.0,1.4056559,5.20133,6.1457357,0.0
8,4.2021646,2.0971227,4.423956,0.0,1.6133184,1.8856387,3.9505415,0.0
9,2.9821103,3.3553312,4.5108037,0.0,1.8811381,3.6525292,5.520662,0.0
10,3.0777059,3.7736094,4.014153,0.0,1.7488931,3.9161139,5.065851,0.0
11,3.658577,2.6519372,6.064721,0.0,1.7350358,1.5840397,4.7387176,0.0
12,3.2721715,2.5812888,4.8059044,0.0,1.5819175,2.7682374,4.589811,0.0
13,2.698833,3.4255753,5.752658,0.0,1.9756272,3.141192,5.3641744,0.0
14,3.6307807,2.6766713,3.7355695,0.0,1.7570641,2.8295295,5.1955605,0.0
15,2.7752512,3.3615725,6.3760805,0.0,1.7956315,2.2770448,5.5462446,0.0
16,0.0,4.8311834,5.777623,0.0,1.2150753,5.573518,5.8873777,0.0
17,1.6010737,3.382699,3.022049,0.0,0.22762322,2.3944163,2.8927822,0.0
18,2.6696577,3.5701926,3.261724,0.0,2.2809367,3.780201,4.6601734,0.0
19,2.2575517,3.0841744,6.1274633,0.0,1.7487875,3.229583,4.785452,0.0
20,3.63653,2.6072829,5.7775483,0.0,1.9713862,1.8689883,4.9176664,0.0
21,2.9553058,4.0341635,1.9674289,0.0,1.5455809,4.077987,6.349058,0.0
22,3.437056,2.6305854,6.09311,0.0,1.9636674,1.7275014,4.715872,0.0
23,3.259672,2.6994946,6.3093405,0.0,1.9452939,1.6258159,4.803239,0.0
24,4.197937,2.7494447,4.429014,0.0,1.6647824,2.434698,5.0166245,0.0
25,0.7169299,4.564561,6.3606453,0.0,1.5295247,2.777972,5.733985,0.0
26,4.318251,2.7554593,4.112528,0.0,1.8257841,1.562732,5.05291,0.0
27,4.0306425,2.7941997,1.0268734,0.0,4.959347,2.0795813,5.02961,0.0
28,3.3947053,3.7078226,3.957786,0.0,1.6426893,3.2987027,6.4556484,0.0
29,3.5765643,3.7198722,2.704832,0.0,2.6817923,3.32174,6.296207,0.0
30,4.343986,4.4840117,5.036854,0.0,0.86662465,0.56043184,8.069308,0.0
31,1.0366721,4.3060036,5.919647,0.0,1.3918586,2.6512449,5.921585,0.0
32,2.3953822,3.363521,6.193219,0.0,1.8444543,2.6519902,5.583322,0.0
33,2.9507358,3.285088,5.73855,0.0,1.7716532,1.8995862,5.6244783,0.0
34,4.0358963,2.5894454,5.417522,0.0,1.8171041,1.3600228,5.059236,0.0
35,0.83360195,0.6815882,2.7425718,0.0,0.47537166,4.8406076,0.0,0.0
36,1.3473535,2.126086,3.120873,0.0,1.3384218,4.473017,1.52114,0.0
37,4.260282,3.0616128,4.1389027,0.0,1.5950181,2.58853,5.056529,0.0
38,3.9845786,2.6174846,5.413189,0.0,1.5835809,1.8118234,4.4875274,0.0
39,3.5861053,3.0928333,4.2818317,0.0,2.4224133,3.33405,5.6447225,0.0
40,3.3799112,2.6606026,6.0517836,0.0,1.8620619,1.9218018,4.5741587,0.0
41,4.389136,2.7741265,4.186638,0.0,1.6572249,1.8296099,4.157363,0.0
42,3.2238142,4.550374,0.92860055,0.0,2.0932345,5.9016805,6.7094193,0.0
43,3.0555058,2.8527343,5.8482285,0.0,1.8621399,2.357002,4.905902,0.0
44,2.238443,3.053436,4.6139526,0.0,1.0022831,1.6845014,4.598324,0.0
45,3.2940168,3.00131,5.228732,0.0,1.8833281,2.7020047,5.059868,0.0
46,2.7657793,3.2146366,5.014534,0.0,1.6230264,3.2756822,4.9844894,0.0
47,3.6183925,2.5221655,6.1813383,0.0,1.943929,1.5616617,4.757968,0.0
48,3.5159698,2.8170369,5.54959,0.0,1.6938491,2.0507214,4.926514,0.0
49,2.7978292,2.8499901,4.82211,0.0,1.63632,2.8236613,4.4375534,0.0
50,3.9211478,2.5150168,3.9498103,0.0,2.0241022,2.6969872,4.336931,0.0
51,3.15307,2.748079,5.910614,0.0,1.6535381,2.2109587,4.379941,0.0
52,3.3758929,3.4739683,3.090215,0.0,1.8139317,4.0815144,6.3027554,0.0
53,3.4824405,2.58694,4.931842,0.0,1.511005,2.0541978,3.947236,0.0
54,3.3704953,3.156092,4.000821,0.0,1.8219676,2.937578,5.061823,0.0
55,3.9089425,2.5024893,3.7740645,0.0,1.8890493,2.1795614,3.9909782,0.0
56,3.7133858,2.777543,4.0595694,0.0,1.6592906,2.6916611,5.0043406,0.0
57,4.3687387,1.6039321,2.441835,0.0,0.24045876,0.96124864,2.4805222,0.052735705
