,Unnamed: 0,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path,jpeg_path
14,14,fbs0006,DFBSJ144150.64+430212.2,14:41:50.640,+43:02:12.20,16.75,15.77,U,79,20,-8.669999229139874e-14,-6.870182546405392e-16,-3.213101497093818e-13,-5.750983313864929e-11,4.272470141148914e-13,-9.41995788584048e-16,8.291560792281034e-19,-2.567707917893629e-22,specimages/fbs0006-DFBSJ144150.64+430212.2.fits,specimagesjpeg/fbs0006-DFBSJ144150.64+430212.2.jpg
15,15,fbs0006,DFBSJ144154.62+425758.8,14:41:54.620,+42:57:58.86,13.54,12.46,OK,98,14,3.653129360258265e-11,-2.140633414251799e-13,-5.541232984624277e-11,-8.712555196072585e-09,5.0448295030677656e-11,-1.0523417717972077e-13,9.462535762248179e-17,-3.1156149211651826e-20,specimages/fbs0006-DFBSJ144154.62+425758.8.fits,specimagesjpeg/fbs0006-DFBSJ144154.62+425758.8.jpg
16,16,fbs0007,DFBSJ150110.13+425902.6,15:01:10.131,+42:59:02.63,12.17,11.79,OK,120,13,5.1498696141941e-10,4.953277009616356e-13,1.6409166635215303e-10,2.5335628060587585e-08,-1.1387860406402536e-10,1.9765588802438352e-13,-1.559503075844443e-16,4.696528141704769e-20,specimages/fbs0007-DFBSJ150110.13+425902.6.fits,specimagesjpeg/fbs0007-DFBSJ150110.13+425902.6.jpg
17,17,fbs0007,DFBSJ150111.23+425941.7,15:01:11.238,+42:59:41.76,14.58,15.09,OK,90,16,3.493710965251074e-11,5.848351811178449e-14,1.4953061400243757e-11,2.4445220945725892e-09,-1.0763820919243618e-11,1.8041256244467296e-14,-1.3546128379001386e-17,3.8293717080712104e-21,specimages/fbs0007-DFBSJ150111.23+425941.7.fits,specimagesjpeg/fbs0007-DFBSJ150111.23+425941.7.jpg
18,18,fbs0007,DFBSJ150111.63+425431.1,15:01:11.635,+42:54:31.14,16.29,15.98,U,87,17,-5.292505752437757e-12,-3.818766058697364e-15,-1.1475073724046438e-12,-1.915618907377509e-10,1.0914827975196585e-12,-2.229413824864615e-15,1.9530965229794737e-18,-6.236506646612128e-22,specimages/fbs0007-DFBSJ150111.63+425431.1.fits,specimagesjpeg/fbs0007-DFBSJ150111.63+425431.1.jpg
19,19,fbs0007,DFBSJ150112.99+425641.7,15:01:12.995,+42:56:41.79,13.92,13.18,OK,116,16,-1.4127488395215445e-11,-2.3648778051913445e-14,-6.046497908717577e-12,-9.884715053734563e-10,7.5910758382324e-12,-1.792038403643355e-14,1.7099452180293774e-17,-5.7806253730786285e-21,specimages/fbs0007-DFBSJ150112.99+425641.7.fits,specimagesjpeg/fbs0007-DFBSJ150112.99+425641.7.jpg
20,20,fbs0007,DFBSJ150117.02+425520.2,15:01:17.021,+42:55:20.26,15.2,13.83,OK,91,15,2.6640559548702395e-12,-7.453967343952783e-14,-1.981223555635415e-11,-3.17494497253771e-09,1.7063539457861586e-11,-3.377639045041718e-14,2.918457860260026e-17,-9.303588511345783e-21,specimages/fbs0007-DFBSJ150117.02+425520.2.fits,specimagesjpeg/fbs0007-DFBSJ150117.02+425520.2.jpg
21,21,fbs0007,DFBSJ150122.47+425535.6,15:01:22.476,+42:55:35.65,16.91,16.57,U,85,20,1.1289542981707173e-13,8.945726699455954e-16,4.183812948261421e-13,7.488493770303227e-11,-2.148492635440905e-13,1.9243394588662134e-16,-3.873082410971935e-20,-1.3278752677859366e-23,specimages/fbs0007-DFBSJ150122.47+425535.6.fits,specimagesjpeg/fbs0007-DFBSJ150122.47+425535.6.jpg
22,22,fbs0007,DFBSJ150122.86+425804.7,15:01:22.860,+42:58:04.73,14.4,13.04,U,119,15,5.2007379415798175e-12,-1.455154773810331e-13,-3.8677212061972025e-11,-6.1980892454576764e-09,3.362067172513459e-11,-6.698162106102623e-14,5.81399860606188e-17,-1.859390967979196e-20,specimages/fbs0007-DFBSJ150122.86+425804.7.fits,specimagesjpeg/fbs0007-DFBSJ150122.86+425804.7.jpg
23,23,fbs0007,DFBSJ150124.46+425846.1,15:01:24.469,+42:58:46.13,14.02,12.54,OK,100,14,5.09645784965976e-11,-2.9863858692196794e-13,-7.730546416930329e-11,-1.2154853271812391e-08,6.617441410355964e-11,-1.329822568413532e-13,1.1683641794651923e-16,-3.7917449536423145e-20,specimages/fbs0007-DFBSJ150124.46+425846.1.fits,specimagesjpeg/fbs0007-DFBSJ150124.46+425846.1.jpg
24,24,fbs0007,DFBSJ150129.05+425708.3,15:01:29.057,+42:57:08.34,16.68,14.97,U,60,16,-1.762168654259573e-11,-2.949805143566144e-14,-7.542053620249307e-12,-1.2329702781583993e-09,6.391481443076275e-12,-1.2270527522517344e-14,1.0317369178710087e-17,-3.2069135192090806e-21,specimages/fbs0007-DFBSJ150129.05+425708.3.fits,specimagesjpeg/fbs0007-DFBSJ150129.05+425708.3.jpg
25,25,fbs0007,DFBSJ150132.16+430055.2,15:01:32.160,+43:00:55.28,12.4,11.74,OK,120,8,-2.1570146298730075e-10,3.6329249109626867e-13,8.876020958063074e-11,1.264838118587624e-08,-5.6066923259159364e-11,1.0367366386431388e-13,-9.449772475158941e-17,3.4921290530083153e-20,specimages/fbs0007-DFBSJ150132.16+430055.2.fits,specimagesjpeg/fbs0007-DFBSJ150132.16+430055.2.jpg
26,26,fbs0007,DFBSJ150135.31+425449.1,15:01:35.317,+42:54:49.15,16.27,14.83,OK,69,13,-2.7223469913289067e-11,-2.6184180014192747e-14,-8.674264988198196e-12,-1.3392969962695784e-09,7.0967238280160094e-12,-1.3888239487321993e-14,1.1893177216703705e-17,-3.765775006263477e-21,specimages/fbs0007-DFBSJ150135.31+425449.1.fits,specimagesjpeg/fbs0007-DFBSJ150135.31+425449.1.jpg
27,27,fbs0013,DFBSJ152117.25+425451.7,15:21:17.252,+42:54:51.75,14.96,14.45,OK,120,13,-4.841028211875126e-11,-4.6562177405310105e-14,-1.54250658583689e-11,-2.381614229829581e-09,1.2253235167712898e-11,-2.3778630366243832e-14,2.047055953818814e-17,-6.575870323264346e-21,specimages/fbs0013-DFBSJ152117.25+425451.7.fits,specimagesjpeg/fbs0013-DFBSJ152117.25+425451.7.jpg
28,28,fbs0013,DFBSJ152121.34+430308.9,15:21:21.343,+43:03:08.98,15.26,14.95,U,94,15,1.8417418714383332e-13,-5.153163432709134e-15,-1.3696814954349485e-12,-2.1949343943160768e-10,1.3289859523858313e-12,-2.8119248805617704e-15,2.5286737603848846e-18,-8.267679838472692e-22,specimages/fbs0013-DFBSJ152121.34+430308.9.fits,specimagesjpeg/fbs0013-DFBSJ152121.34+430308.9.jpg
29,29,fbs0013,DFBSJ152135.30+425743.3,15:21:35.307,+42:57:43.32,15.58,15.12,U,120,11,2.705668958220269e-12,-1.298192390078896e-14,-3.6364517979530743e-12,-5.426489803557279e-10,2.856754000872746e-12,-5.557055358147406e-15,4.7212853683488415e-18,-1.4781214978325214e-21,specimages/fbs0013-DFBSJ152135.30+425743.3.fits,specimagesjpeg/fbs0013-DFBSJ152135.30+425743.3.jpg
30,30,fbs0013,DFBSJ152136.63+425414.4,15:21:36.638,+42:54:14.49,12.51,11.97,NL,113,17,6.503605831597187e-11,4.692653423329561e-14,1.4101064543969825e-11,2.354011525676274e-09,-6.727132109712428e-12,6.34544180532519e-15,-1.6487671435315445e-18,-3.068193819079234e-22,specimages/fbs0013-DFBSJ152136.63+425414.4.fits,specimagesjpeg/fbs0013-DFBSJ152136.63+425414.4.jpg
